post_id,date,platform,post_type,product,likes,comments,shares,views,ad_spend,revenue
1,2025-01-05,Facebook,Photo,Shirt,320,45,18,2100,15.50,210.00
2,2025-01-07,Instagram,Reel,Dress,1850,210,340,18500,40.00,650.00
3,2025-01-09,TikTok,Video,Shoes,4200,580,910,52000,30.00,820.00
4,2025-01-12,Facebook,Carousel,Bag,540,72,25,3800,20.00,310.00
5,2025-01-15,Instagram,Photo,Accessories,720,88,42,5400,10.00,180.00
6,2025-01-18,YouTube,Video,Dress,2300,310,150,28000,50.00,540.00
7,2025-01-20,TikTok,Video,Hat,3100,420,680,41000,25.00,400.00
8,2025-01-22,Facebook,Photo,Shirt,290,,15,1900,12.00,160.00
9,2025-01-25,Instagram,Reel,Shoes,2100,260,410,22000,45.00,880.00
10,2025-01-28,Twitter,Photo,Bag,180,32,28,2400,8.00,95.00
11,2025-02-01,Facebook,Video,Dress,860,110,55,7200,28.00,420.00
12,2025-02-03,Instagram,Carousel,Accessories,990,124,78,8800,22.00,260.00
13,2025-02-05,TikTok,Video,Shirt,3800,510,820,48000,,520.00
14,2025-02-08,YouTube,Video,Shoes,2700,360,180,32000,55.00,910.00
15,2025-02-10,Facebook,Photo,Hat,410,58,22,3100,14.00,170.00
16,2025-02-12,Instagram,Reel,Bag,1950,220,360,19500,42.00,720.00
17,2025-02-15,TikTok,Video,Dress,4500,610,950,55000,35.00,980.00
18,2025-02-18,Facebook,Carousel,Shirt,620,82,35,4400,18.00,280.00
19,2025-02-20,Twitter,Photo,Accessories,210,38,30,2700,7.00,110.00
20,2025-02-22,Instagram,Photo,Shoes,830,98,48,6100,15.00,240.00
21,2025-02-25,YouTube,Video,Hat,1900,250,120,23000,45.00,380.00
22,2025-02-28,Facebook,Photo,Bag,360,52,20,2600,13.00,190.00
23,2025-03-02,TikTok,Video,Accessories,3400,460,750,44000,28.00,460.00
24,2025-03-05,Instagram,Reel,Shirt,2200,280,420,23500,48.00,690.00
25,2025-03-08,Facebook,Video,Dress,920,118,60,7700,30.00,470.00
26,2025-03-10,Twitter,Photo,Shoes,240,42,33,3000,9.00,130.00
27,2025-03-12,Instagram,Carousel,Hat,1050,130,85,9200,24.00,290.00
28,2025-03-15,TikTok,Video,Bag,3900,540,860,50000,32.00,610.00
29,2025-03-18,YouTube,Video,Shirt,2500,330,160,29500,52.00,700.00
30,2025-03-20,Facebook,Photo,Accessories,330,,17,2200,,150.00
31,2025-03-22,Instagram,Reel,Dress,2400,300,450,25000,50.00,950.00
32,2025-03-25,TikTok,Video,Shoes,4700,640,990,57000,38.00,1050.00
33,2025-03-28,Facebook,Carousel,Hat,580,76,28,4100,17.00,240.00
34,2025-03-30,Twitter,Photo,Shirt,200,36,29,2500,8.00,100.00
35,2025-04-02,Instagram,Photo,Bag,790,92,46,5800,14.00,220.00
36,2025-04-05,YouTube,Video,Accessories,2100,270,140,25000,48.00,420.00
37,2025-04-08,Facebook,Photo,Dress,440,62,24,3300,16.00,230.00
38,2025-04-10,TikTok,Video,Shirt,3600,490,790,46000,30.00,580.00
39,2025-04-12,Instagram,Reel,Shoes,2050,240,400,21000,44.00,810.00
40,2025-04-15,Facebook,Video,Bag,880,112,58,7500,29.00,440.00
